井号,测点深度,井斜角,方位角
29号井,336.3,0.82,31.19
29号井,361.3,0.87,105.66
29号井,386.3,1.07,133.2999
29号井,411.3,1.26,177.6
29号井,436.3,0.67,199.5799
29号井,461.3,0.61,203.14
29号井,486.3,0.59,228.6
29号井,511.3,0.62,191.73
29号井,536.3,0.63,201.76
29号井,561.3,0.8,186.57
29号井,586.3,0.49,170.54
29号井,611.3,0.43,178.3999
29号井,636.3,1.39,145.73
29号井,661.3,1.36,130.2999
29号井,686.3,2.03,142.1499
29号井,711.3,1.56,161.5199
29号井,736.3,2.1,168.95
29号井,761.3,1.55,166.38
29号井,786.3,1.2,136.01
29号井,811.3,1.14,144.3099
29号井,836.3,1.28,137.98
29号井,861.3,1.97,137.9299
29号井,886.3,1.11,128.78
29号井,911.3,1.04,125.75
29号井,936.3,1.22,109.8
29号井,961.3,1.38,117.69
29号井,986.3,1.06,100.25
29号井,1011.3,1.13,87.61
29号井,1036.3,1.96,118.67
29号井,1061.3,1.29,117.26
29号井,1086.3,1.36,119.8999
29号井,1111.3,1.34,147.32
29号井,1136.3,1.75,132.79
29号井,1161.3,1.05,141.28
29号井,1186.3,0.91,125.9299
29号井,1211.3,1.5,143.88
29号井,1236.3,1,136.95
29号井,1261.3,1.23,144.5599
29号井,1286.3,0.96,120.96
29号井,1311.3,1.02,127.1199
29号井,1336.3,1.3,113.85
29号井,1361.3,1.05,106.73
29号井,1386.3,1.51,96.59
29号井,1411.3,1,93.51
29号井,1436.3,1.31,118.43
29号井,1461.3,1.49,158.07
29号井,1486.3,1.59,141.82
29号井,1511.3,1.59,159.8599
29号井,1536.3,1.68,158.39
29号井,1561.3,1.09,150.98
29号井,1586.3,1.21,139.26
29号井,1611.3,1.71,137.8099
29号井,1636.3,1.27,173.3399
29号井,1661.3,1.18,164.1799
29号井,1686.3,1.08,187.13
29号井,1711.3,3.03,186.1499
29号井,1736.3,5.67,179.3299
29号井,1761.3,8.37,182.38
29号井,1786.3,12.21,183.44
29号井,1811.3,13.85,187.29
29号井,1836.3,13.56,187.2699
29号井,1861.3,14.48,184.3299
29号井,1886.3,14.59,183.44
29号井,1911.3,14.57,183.2
29号井,1936.3,14.46,182.48
29号井,1961.3,14.43,182.5199
29号井,1986.3,14.38,182.9899
29号井,2011.3,14.28,182.7999
29号井,2036.3,14.12,182.1
29号井,2061.3,13.92,182.6499
29号井,2086.3,14.65,187.16
29号井,2111.3,14.5,188
29号井,2136.3,14.38,187.7699
29号井,2161.3,14.3,187.29
29号井,2186.3,14.72,187.72
29号井,2211.3,14.7,187.82
29号井,2236.3,14.52,187.8099
29号井,2261.3,14.76,187.8299
29号井,2286.3,14.74,187.5799
29号井,2311.3,14.56,187.3999
29号井,2336.3,14.47,187.5199
29号井,2361.3,14.54,186.7399
29号井,2386.3,14.76,184.35
29号井,2411.3,15.07,184.0199
29号井,2436.3,14.98,183.6799
29号井,2461.3,14.55,183.38
29号井,2486.3,14.62,183.23
29号井,2511.3,14.48,184.13
29号井,2536.3,14.24,183.97
29号井,2561.3,14.26,183.4899
29号井,2586.3,13.91,183.3599
29号井,2611.3,13.62,183.7399
29号井,2636.3,13.4,183.7
29号井,2661.3,12.98,183.54
29号井,2686.3,12.72,184.41
29号井,2711.3,12.79,184.8999
29号井,2736.3,12.76,185.1099
30号井,348,1.1,213.92
30号井,373,0.83,73.08
30号井,398,0.78,54.7
30号井,423,0.72,28.06
30号井,448,0.83,17.38
30号井,473,0.69,18.25
30号井,498,0.67,13.8
30号井,523,0.83,302.99
30号井,548,1.03,275.13
30号井,573,1.37,277.5
30号井,598,1.65,290.62
30号井,623,1.83,291.43
30号井,648,1.85,291.2
30号井,673,2.01,289.75
30号井,698,2.42,295.18
30号井,723,2.28,289.27
30号井,748,2.04,291.91
30号井,773,1.92,292.38
30号井,798,2.06,295.17
30号井,823,1.93,294.4
30号井,848,1.67,293.01
30号井,873,1.67,298.74
30号井,898,1.63,304.42
30号井,923,1.64,305.75
30号井,948,1.7,303.75
30号井,973,1.7,309.32
30号井,998,1.71,300.16
30号井,1023,1.55,294.18
30号井,1048,1.37,290.85
30号井,1073,1.18,289.88
30号井,1098,1.11,259.21
30号井,1123,1.14,233.97
30号井,1148,1.24,234.08
30号井,1173,1.26,238.78
30号井,1198,1.57,238.21
30号井,1223,1.81,239.06
30号井,1248,1.58,238.68
30号井,1273,1.28,270.12
30号井,1298,1.26,276.59
30号井,1323,1.36,281.93
30号井,1348,1.24,284.43
30号井,1373,1.23,270.67
30号井,1398,1.41,259.9
30号井,1423,1.75,285.16
30号井,1448,1.74,283.05
30号井,1473,1.86,280.36
30号井,1498,1.88,278.74
30号井,1523,2.49,297.19
30号井,1548,5,314.83
30号井,1573,7.27,319.78
30号井,1598,9.15,321.99
30号井,1623,12.65,323.38
30号井,1648,15.79,327.04
30号井,1673,19.48,325.54
30号井,1698,22.32,322.88
30号井,1723,23.82,322.05
30号井,1748,25.71,319.54
30号井,1773,27.89,318.2
30号井,1798,30.21,316.67
30号井,1823,29.78,316.15
30号井,1848,30.02,317.53
30号井,1873,30.88,316.7
30号井,1898,30.89,316.37
30号井,1923,30.95,316.29
30号井,1948,31.36,316.48
30号井,1973,31.76,316.48
30号井,1998,31.72,315.96
30号井,2023,34.06,317.64
30号井,2048,33.84,317.01
30号井,2073,34,316.54
30号井,2098,34.02,316.15
30号井,2123,34.09,315.97
30号井,2148,34,316.01
30号井,2173,34.13,315.67
30号井,2198,34.06,315.35
30号井,2223,33.99,315.59
30号井,2248,34.12,315.43
30号井,2273,34.49,314.88
30号井,2298,34.61,314.67
30号井,2323,35.09,321.09
30号井,2348,34.98,324.03
30号井,2373,34.71,323.94
30号井,2398,34.96,323.79
30号井,2423,34.95,323.71
30号井,2448,34.94,323.56
30号井,2473,35.08,323.35
30号井,2498,34.87,322.85
30号井,2523,35.17,322.53
30号井,2548,35.12,322.45
30号井,2573,35.03,322.19
30号井,2598,35.08,321.84
30号井,2623,34.99,321.53
30号井,2648,35.2,321.38
30号井,2673,34.98,321.27
30号井,2698,35.01,321.04
30号井,2723,34.87,320.9
30号井,2748,34.95,320.76
30号井,2773,34.91,320.49
30号井,2798,35.08,320.17
30号井,2823,35.03,320.01
30号井,2848,34.75,319.51
30号井,2873,34.59,319.2
30号井,2898,34.3,318.91
30号井,2923,34.12,318.61
30号井,2948,34.07,318.12
30号井,2973,34.06,318.12
30号井,2998,34.01,317.74
31号井,275,0.424,40.854
31号井,300,0.331,17.4129
31号井,325,0.212,282.54
31号井,350,0.292,263.409
31号井,375,0.465,322.534
31号井,400,0.495,287.253
31号井,425,0.558,269.644
31号井,450,0.514,249.89
31号井,475,0.523,167.482
31号井,500,1.179,138.749
31号井,525,1.719,132.212
31号井,550,1.742,136.243
31号井,575,1.536,138.724
31号井,600,1.73,134.8159
31号井,625,1.77,134.6909
31号井,650,1.764,129.826
31号井,675,1.921,124.4289
31号井,700,1.798,113.129
31号井,725,1.466,104.561
31号井,750,1.645,100.769
31号井,775,1.699,105.162
31号井,800,1.744,111.486
31号井,825,1.76,116.98
31号井,850,1.55,125.355
31号井,875,1.586,127.879
31号井,900,1.526,124.535
31号井,925,1.637,123.357
31号井,950,1.456,120.926
31号井,975,1.307,117.596
31号井,1000,1.466,121.676
31号井,1025,1.933,119.813
31号井,1050,2.138,109.209
31号井,1075,2.469,112.557
31号井,1100,2.526,109.281
31号井,1125,2.464,110.968
31号井,1150,2.545,109
31号井,1175,2.478,108.148
31号井,1200,2.486,109.588
31号井,1225,2.541,109.722
31号井,1250,2.487,109.36
31号井,1275,2.448,107.931
31号井,1300,2.978,105.486
31号井,1325,5.172,109.537
31号井,1350,7.818,115.855
31号井,1375,9.601,135.416
31号井,1400,11.702,137.7149
31号井,1425,13.775,135.939
31号井,1450,16.335,130.1029
31号井,1475,18.955,129.869
31号井,1500,22.095,131.3599
31号井,1525,26.542,133.023
31号井,1550,26.544,133.1259
31号井,1575,26.901,133.137
31号井,1600,27.061,133.1929
31号井,1625,26.98,133.17
31号井,1650,27.251,132.932
31号井,1675,27.529,132.8949
31号井,1700,26.001,132.326
31号井,1725,25.58,131.813
31号井,1750,25.685,131.5
31号井,1775,25.658,131.2759
31号井,1800,25.405,131.2469
31号井,1825,24.824,131.9479
31号井,1850,24.687,132.006
31号井,1875,24.587,131.887
31号井,1900,24.443,132.005
31号井,1925,24.356,132.445
31号井,1950,25.21,132.6089
31号井,1975,25.39,132.277
31号井,2000,25.178,131.885
31号井,2025,25.23,132.4429
31号井,2050,25.488,132.219
31号井,2075,26.574,131.714
31号井,2100,26.802,131.3039
31号井,2125,26.655,131.515
31号井,2150,26.953,131.375
31号井,2175,26.92,131.415
31号井,2200,27.033,131.509
31号井,2225,26.831,131.2109
31号井,2250,26.831,131.1079
31号井,2275,27.506,131.012
31号井,2300,27.848,130.831
31号井,2325,27.014,130.6219
31号井,2350,27.078,130.14
31号井,2375,27.539,129.7759
31号井,2400,27.291,130.272
31号井,2425,27.372,130.2229
31号井,2450,27.396,130.3059
31号井,2475,27.583,130.1099
31号井,2500,27.727,130.393
31号井,2525,27.503,130.2989
31号井,2550,27.536,130.2289
31号井,2575,27.498,130.195
31号井,2600,24.471,129.9069
31号井,2625,27.818,129.884
31号井,2650,27.962,129.789
31号井,2675,28.167,130.159
31号井,2700,27.586,130.2109
31号井,2725,25.274,130.819
31号井,2750,22.679,130.85
31号井,2775,20.546,131.434
31号井,2800,19.719,132.172
31号井,2825,18.265,132.003
32号井,220.84,0.22,37.78
32号井,249.75,0.18,303.61
32号井,278.52,0.21,294.51
32号井,307.35,0.32,5.15
32号井,335.99,0.4,38.79
32号井,364.71,0.24,60.05
32号井,393.47,0.05,251.18
32号井,422.28,0.18,251.93
32号井,451.09,0.62,261.45
32号井,479.84,0.71,266.48
32号井,508.73,0.76,271.59
32号井,537.5,0.72,273.97
32号井,565.93,0.44,274.89
32号井,594.6,0.28,256.01
32号井,623.06,0.3,219.27
32号井,651.79,0.58,226.87
32号井,680.25,0.52,231.87
32号井,708.73,0.57,245.25
32号井,737.49,0.48,264.73
32号井,766.15,0.57,268.79
32号井,795,0.53,293.33
32号井,823.78,0.34,316.51
32号井,852.55,0.25,328.07
32号井,880.84,0.07,255.58
32号井,909.45,0.18,211.57
32号井,938.33,0.27,242.35
32号井,967.06,0.45,303.12
32号井,995.87,0.21,320.79
32号井,1024.61,0.11,304.59
32号井,1053.41,0.11,208
32号井,1082.24,0.57,256.16
32号井,1111.01,0.28,278.64
32号井,1139.8,0.41,209.91
32号井,1168.58,0.58,227.83
32号井,1197.21,0.42,261.53
32号井,1226.07,0.56,233.44
32号井,1254.18,0.51,196.26
32号井,1282.95,0.72,246.98
32号井,1311.72,0.51,278.44
32号井,1340.44,0.21,253.16
32号井,1369.21,0.67,279.09
32号井,1397.46,0.61,341.54
32号井,1426.2,0.58,339.89
32号井,1454.29,0.92,344.81
32号井,1483.11,1.53,327.86
32号井,1511.87,1.7,343.68
32号井,1540.69,1.78,332.4
32号井,1568.27,1.76,350.95
32号井,1596.98,1.36,358.41
32号井,1625.5,1.51,8.63
32号井,1654.13,1.32,10.52
32号井,1682.85,1.24,2.53
32号井,1711.58,1.46,1.18
32号井,1740.16,1.47,357.97
32号井,1768.65,1.31,355.62
32号井,1797.26,1.42,353.65
32号井,1826.05,1.29,346.77
32号井,1854.7,1.18,340.84
32号井,1883.48,1.07,340.39
32号井,1910.04,1.36,332.68
32号井,1938.87,1.38,335.99
32号井,1967.76,6.77,253.63
32号井,1996.18,12.48,231.21
32号井,2024.79,18.06,226.28
32号井,2053.58,18.56,227.64
32号井,2082.43,18.97,226.14
32号井,2111.15,19.14,226.48
32号井,2139.92,19.28,226.97
32号井,2168.81,19.45,224.86
32号井,2197.59,19.82,223.55
32号井,2226.39,20.06,223.45
32号井,2255.08,20.53,222.42
32号井,2283.9,21,223.22
32号井,2312.69,21.13,224.4
32号井,2341.48,20.9,223.9
32号井,2370.38,21.12,223.82
32号井,2399.22,21.16,223.5
32号井,2428.09,21.5,222.73
32号井,2456.91,21.96,221.67
32号井,2484.99,22.14,221.42
32号井,2513.67,22.53,222.85
32号井,2542.34,22.51,223.52
32号井,2558.68,22.53,221.97
32号井,2587.26,22.53,222.66
32号井,2615.85,22.44,223.46
32号井,2644.46,22.15,224.39
32号井,2673.08,21.97,224.88
32号井,2701.69,22.12,223.91
32号井,2730.34,22.02,222.36
32号井,2758.98,22.06,223.22
32号井,2787.54,22.07,224.52
32号井,2795,22.07,224.52
33号井,228.42,0.97,172.16
33号井,257.09,0.92,175.11
33号井,285.82,0.85,167.49
33号井,314.58,0.97,167.08
33号井,343.41,0.94,175.82
33号井,371.93,0.92,186.53
33号井,400.76,0.85,193.5
33号井,429.54,0.91,204.02
33号井,458.31,1.09,208.02
33号井,486.63,1.09,218.17
33号井,515.49,1.01,232.35
33号井,544.33,0.8,230.29
33号井,573.07,0.72,234.67
33号井,601.83,0.57,237.92
33号井,630.56,0.44,239.2
33号井,659.33,0.26,242.3
33号井,688.1,0.34,181.82
33号井,716.93,0.49,192.66
33号井,745.82,0.64,202.3
33号井,774.58,0.68,205.06
33号井,803.39,0.73,210.77
33号井,832.31,0.39,203.51
33号井,861.03,0.35,204.32
33号井,889.87,0.32,214.28
33号井,918.35,0.33,232.84
33号井,947.02,0.35,254.8
33号井,975.68,0.36,284.33
33号井,1004.05,0.25,296.59
33号井,1032.76,0.16,263.36
33号井,1061.5,0.18,104.32
33号井,1090.32,0.2,226.5
33号井,1119.12,0.42,279.1
33号井,1148.02,0.54,294.44
33号井,1176.61,0.72,359.97
33号井,1205.34,0.78,15.46
33号井,1234.12,0.79,20.72
33号井,1262.89,0.86,19.97
33号井,1291.68,1.24,22.31
33号井,1320.37,1.56,33.56
33号井,1349.07,1.96,42.3
33号井,1377.75,1.6,43.48
33号井,1406.5,1.92,47.15
33号井,1435.33,1.99,54.31
33号井,1463.66,1.54,35.49
33号井,1492.46,1.94,52.32
33号井,1521.09,1.32,50.39
33号井,1549.89,1.22,38.91
33号井,1578.66,1.45,40.95
33号井,1607.33,1.5,42.91
33号井,1636.07,1.5,42.91
33号井,1664.8,1.41,34.4
33号井,1693.62,1.5,51.54
33号井,1722.4,1.49,55.13
33号井,1751.07,1.4,63.67
33号井,1779.83,0.73,71.2
33号井,1808.49,0.29,4.95
33号井,1837.26,0.52,12.51
33号井,1866.04,0.45,358.29
33号井,1894.74,0.33,33.17
33号井,1922.89,0.34,67.57
33号井,1951.74,0.21,100.6
33号井,1980.5,0.23,50.11
33号井,2009.34,0.42,133.97
33号井,2038,0.64,225.37
33号井,2066,4.05,131.47
33号井,2094.72,12.03,136.37
33号井,2110,16.26,135.57
33号井,2132.31,18.79,134.47
33号井,2161.05,19.67,135.17
33号井,2189.14,20.47,135.3
33号井,2217.72,21.51,135.48
33号井,2246.53,22.07,134.35
33号井,2275.24,22.7,134.2
33号井,2301.14,22.47,134.77
33号井,2329.86,22.02,133.16
33号井,2358.67,21.3,133.88
33号井,2387.39,20.97,132.72
33号井,2416.04,20.73,132.91
33号井,2444.79,20.01,133.05
33号井,2463.21,19.73,133.29
33号井,2491.77,19.1,132.51
33号井,2520.48,18.32,132.7
33号井,2549.06,17.54,132.57
33号井,2577.74,16.73,132.89
33号井,2606.48,15.7,133.03
33号井,2635.11,14.86,134.13
33号井,2663.85,14.35,134.7
33号井,2692.57,13.73,135.02
33号井,2721.18,12.91,135.68
33号井,2749.85,12.27,137.71
33号井,2756,12.27,137.71
34号井,380.13,0.49,51.27
34号井,408.91,0.35,256.27
34号井,437.5,0.49,301.41
34号井,466.17,0.63,272.98
34号井,494.95,0.89,269.96
34号井,523.6,0.82,276.16
34号井,552.36,0.76,285.13
34号井,581.23,0.73,293.34
34号井,610.04,0.42,296.06
34号井,638.63,0.38,266.4
34号井,667.43,0.55,254.35
34号井,696.18,0.91,263.53
34号井,724.81,0.72,264.73
34号井,753.71,0.98,260
34号井,782.38,0.72,253.39
34号井,811.16,0.81,255.81
34号井,839.75,0.37,231.69
34号井,868.55,0.46,204.81
34号井,897.3,0.46,186.21
34号井,925.93,0.7,201.16
34号井,954.83,0.37,179.5
34号井,983.5,0.4,188.91
34号井,1012.28,0.57,205.76
34号井,1040.93,0.54,214.58
34号井,1069.69,0.54,237.69
34号井,1098.56,0.31,247.81
34号井,1127.37,0.34,259.61
34号井,1155.96,0.15,110.12
34号井,1184.76,0.34,184.56
34号井,1213.51,0.49,147.47
34号井,1242.14,0.58,150.42
34号井,1271.04,0.52,171.55
34号井,1299.71,0.29,184.75
34号井,1328.49,0.24,177.72
34号井,1357.14,0.09,201.32
34号井,1385.9,0.34,266.66
34号井,1414.77,0.86,289.29
34号井,1443.58,0.76,265.98
34号井,1472.17,0.42,262.51
34号井,1500.97,0.19,247.44
34号井,1529.72,0.46,275.23
34号井,1558.35,0.24,275.1
34号井,1587.25,0.34,241.71
34号井,1615.92,0.28,258.32
34号井,1644.7,0.42,257.79
34号井,1673.35,0.67,290.11
34号井,1702.11,0.5,318.91
34号井,1730.98,0.46,292.83
34号井,1759.79,0.43,311.63
34号井,1788.38,0.34,320.36
34号井,1817.18,0.21,84.73
34号井,1845.93,0.28,142.62
34号井,1874.56,0.35,195.4
34号井,1903.46,0.27,247.8
34号井,1932.13,0.35,260.4
34号井,1960.91,0.49,238.87
34号井,1989.56,0.65,219.18
34号井,2018.32,0.39,240.88
34号井,2047.19,0.18,223.08
34号井,2076,0.85,168.55
34号井,2088.49,0.7,100.58
34号井,2098.06,2.37,45.58
34号井,2107.68,5.14,39.28
34号井,2117.31,7.91,39.18
34号井,2126.9,10.15,39
34号井,2142.8,11.87,33.18
34号井,2171.21,13.4,30.18
34号井,2199.65,14.5,29.56
34号井,2228.72,15.1,28.58
34号井,2257.5,15.8,26.78
34号井,2286.34,16.1,25.78
34号井,2315.17,17.32,24.5
34号井,2348.34,18.71,23.4
34号井,2377.08,20,22.6
34号井,2405.91,21.26,21.4
34号井,2434.73,22.2,21.26
34号井,2463.54,24.2,21.04
34号井,2492.29,25.76,20.9
34号井,2521.06,27.3,20.4
34号井,2549.86,28.8,20.9
34号井,2578.63,30.4,20.7
34号井,2607.43,32,20.6
34号井,2636.17,33.2,20.4
34号井,2664.94,34.5,20.4
34号井,2674,34.5,20.4
35号井,349.87,0.3,320.87
35号井,378.5,0.15,334.63
35号井,407.07,0.12,4.78
35号井,435.69,0.33,98.07
35号井,464.27,0.44,119.76
35号井,492.89,0.4,136.38
35号井,521.41,0.47,131.97
35号井,550.02,0.57,128.47
35号井,578.64,0.85,137.82
35号井,607.22,0.66,143.03
35号井,635.78,0.66,145.33
35号井,664.35,0.6,146.09
35号井,692.94,0.74,152.14
35号井,721.55,0.68,149.01
35号井,750.16,0.56,141.27
35号井,778.73,0.41,147.77
35号井,807.34,0.46,143.51
35号井,835.96,0.44,139.21
35号井,864.58,0.46,138.64
35号井,893.15,0.43,141.15
35号井,921.76,0.33,145.8
35号井,950.34,0.26,130.25
35号井,978.95,0.15,11.3
35号井,1007.54,0.15,357
35号井,1036.15,0.07,39.16
35号井,1064.76,0.17,251.73
35号井,1093.34,0.3,240.48
35号井,1121.95,0.58,240.13
35号井,1150.56,0.63,241.19
35号井,1179.17,0.71,239.65
35号井,1207.76,0.71,248.49
35号井,1236.34,0.76,237.76
35号井,1264.95,0.86,228.56
35号井,1293.56,0.68,233.89
35号井,1322.18,0.75,217.62
35号井,1350.74,0.71,225.17
35号井,1379.3,0.61,227.33
35号井,1407.91,0.64,217.54
35号井,1436.48,0.69,218.84
35号井,1465.04,0.76,223.32
35号井,1493.58,1.06,220.91
35号井,1522.12,1.24,226.03
35号井,1550.71,1.22,223.67
35号井,1579.28,1.12,231.47
35号井,1607.86,0.6,232.26
35号井,1636.44,0.48,244.93
35号井,1665.02,0.41,249.44
35号井,1693.59,0.42,257.33
35号井,1722.15,0.32,203.32
35号井,1750.76,0.38,179.38
35号井,1779.36,0.5,170.51
35号井,1807.95,0.43,174.4
35号井,1836.52,0.46,193.76
35号井,1865.13,0.7,237.54
35号井,1893.72,0.95,265.05
35号井,1922.29,1.04,273.46
35号井,1950.88,1.04,282.88
35号井,1979.49,0.99,287.68
35号井,2008.07,0.97,297.78
35号井,2036.63,1.02,310.95
35号井,2065.15,0.89,289.5
35号井,2089.91,0.32,253.68
35号井,2101.7,1.64,252.58
35号井,2111.26,3.47,253.08
35号井,2120.83,5.66,252.48
35号井,2130.41,7.78,250.58
35号井,2139.97,9.68,251.38
35号井,2144.53,10.4,251.38
35号井,2174.5,12.87,253.14
35号井,2203.1,13.92,252.66
35号井,2212.64,14.12,253.23
35号井,2241.25,14.62,254.41
35号井,2269.85,14.98,256.04
35号井,2298.45,15.68,256.92
35号井,2327.09,16.36,257.65
35号井,2355.59,17.03,257.87
35号井,2384.21,17.66,258.74
35号井,2412.82,18.21,258.16
35号井,2447.86,18.74,256.39
35号井,2476.38,19.19,256.87
35号井,2485.9,19.34,257.15
35号井,2514.54,19.79,258.02
35号井,2543.1,20.8,258.49
35号井,2562.31,21.2,258.49
35号井,2590.8,21.6,259.72
35号井,2619.36,22,260.34
35号井,2647.89,22.4,260.92
35号井,2667.12,23.01,261.3
35号井,2687.21,23.59,261.92
35号井,2715.77,23.89,262.62
35号井,2744.5,24.3,262.78
35号井,2773,24.6,262.91
35号井,2801.3,24.3,262.78
35号井,2830.2,24.9,263.3
35号井,2858.8,25.01,263.58
35号井,2887.2,25.02,263.48
35号井,2915.8,25.2,263.46
35号井,2944.4,25.4,263.58
35号井,2953,25.41,263.78
36号井,366.36,0.6,241.33
36号井,395.04,0.78,297.11
36号井,423.56,0.8,2.44
36号井,452.19,0.6,30.06
36号井,480.76,0.39,40.56
36号井,509.39,0.6,13.44
36号井,537.98,0.39,311.79
36号井,566.61,0.49,328.8
36号井,595.26,0.56,340.23
36号井,623.84,0.51,19.61
36号井,652.49,0.58,29.13
36号井,681.03,0.4,49.38
36号井,709.7,0.19,8.52
36号井,738.28,0.21,339.87
36号井,766.81,0.27,358.31
36号井,795.4,0.38,18.47
36号井,824.01,0.23,47.83
36号井,852.56,0.28,233.02
36号井,881.21,0.25,201.38
36号井,909.75,0.35,221.23
36号井,938.33,0.44,246.67
36号井,966.96,0.63,258.63
36号井,995.59,0.53,259.08
36号井,1024.12,0.48,237.72
36号井,1052.78,0.63,262.7
36号井,1081.43,0.49,266.62
36号井,1110,0.22,210.26
36号井,1138.59,0.45,225.06
36号井,1167.67,0.45,199.03
36号井,1195.84,0.58,226.81
36号井,1224.41,0.53,260.46
36号井,1253.08,0.98,265.44
36号井,1281.69,1.46,268.08
36号井,1310.31,1.76,268.49
36号井,1338.88,1.52,282.58
36号井,1367.52,1.07,250.17
36号井,1396.11,1.33,233.21
36号井,1424.67,1.32,270.72
36号井,1453.28,1.28,261.42
36号井,1481.84,1.25,277.17
36号井,1510.48,1.46,271.17
36号井,1539.06,1.08,270.98
36号井,1567.73,1.23,252.41
36号井,1596.22,1.45,259.81
36号井,1624.76,1.93,275.69
36号井,1653.37,1.54,292.2
36号井,1681.99,1.76,283.77
36号井,1710.5,1.57,249.15
36号井,1739.17,1.51,297.86
36号井,1767.76,1.68,266.14
36号井,1796.29,1.35,284.03
36号井,1824.92,1.03,267.55
36号井,1853.48,1.35,270.48
36号井,1882.05,1.12,239.81
36号井,1910.64,1.42,306.95
36号井,1939.23,1.64,286.52
36号井,1967.85,1.39,293.76
36号井,1996.5,0.89,338.66
36号井,2012.4,2.12,285.88
36号井,2022,4.28,291.38
36号井,2031.54,6.31,292.28
36号井,2041.2,8.25,295.88
36号井,2050.6,10.26,294.48
36号井,2060.11,11.94,292.88
36号井,2069.65,13.64,290.58
36号井,2079.3,15.16,288.68
36号井,2088.84,16.97,285.68
36号井,2098.4,18.32,286.78
36号井,2107.91,20.15,287.08
36号井,2130.14,21.98,289.14
36号井,2149.34,21.86,289.35
36号井,2177.95,21.75,288.83
36号井,2206.49,21.39,289.51
36号井,2235.1,20.91,290.65
36号井,2263.67,20.63,288.34
36号井,2273.15,20.27,289.71
36号井,2301.72,19.92,291.08
36号井,2330.31,19.77,288.46
36号井,2339.85,19.62,288.39
36号井,2368.46,19.54,288.47
36号井,2397.09,19.23,288.5
36号井,2425.68,19.11,288.29
36号井,2454.32,19.07,290.91
36号井,2482.95,18.71,291.39
36号井,2511.56,18.36,293.05
36号井,2540.15,17.49,291.97
36号井,2568.32,17.52,292.87
36号井,2580,17.48,293.65
36号井,2608.78,17.57,293.96
36号井,2637.01,17.26,295.41
36号井,2656.02,16.89,294.51
36号井,2684.61,16.53,293.16
36号井,2713.21,16.13,291.75
36号井,2741.84,16.73,291.47
36号井,2770.31,16.05,294.28
36号井,2798.87,15.67,294.48
36号井,2827.35,15.41,293.51
36号井,2855.97,15.4,294.15
36号井,2884.36,15.44,294.48
36号井,2912.94,15.9,293.87
36号井,2941.66,16.13,294.79
36号井,2956,16.13,294.79
37号井,226.17,0.34,18.74
37号井,254.78,0.41,356.01
37号井,283.42,0.49,342.23
37号井,311.99,0.58,341.2
37号井,340.59,0.75,341.32
37号井,369.2,0.95,341.01
37号井,397.82,1.09,341.47
37号井,426.48,1.08,336.93
37号井,455.05,1.07,338.24
37号井,483.67,0.95,349.11
37号井,512.29,0.94,16.36
37号井,540.87,0.99,25.2
37号井,569.48,1.06,36.91
37号井,598.06,1.09,44.48
37号井,626.67,1.11,44.42
37号井,655.26,0.92,49.62
37号井,683.86,0.74,69.45
37号井,712.43,0.62,84.16
37号井,741.09,0.53,90.66
37号井,769.67,0.46,95.88
37号井,798.24,0.17,100.31
37号井,826.82,0.03,116.94
37号井,855.42,0.06,333.26
37号井,884.03,0.14,325.28
37号井,912.62,0.25,321.65
37号井,941.24,0.27,318.53
37号井,969.85,0.36,342.96
37号井,998.47,0.45,346.57
37号井,1027.08,0.6,338.42
37号井,1055.73,0.66,342.68
37号井,1084.34,0.68,349.02
37号井,1112.9,0.62,354.45
37号井,1141.55,0.56,19.9
37号井,1170.2,0.44,43.93
37号井,1198.83,0.49,52.2
37号井,1227.45,0.28,69.03
37号井,1256.02,0.17,99
37号井,1284.62,0.19,163.17
37号井,1313.24,0.18,240.53
37号井,1341.88,0.29,287.25
37号井,1370.52,0.42,282.49
37号井,1399.1,0.44,283.65
37号井,1427.71,0.29,307.06
37号井,1456.34,0.28,301.21
37号井,1484.93,0.42,307.47
37号井,1513.58,0.62,313.93
37号井,1542.18,0.9,313.41
37号井,1570.75,0.94,312
37号井,1599.37,0.93,313.65
37号井,1627.95,1.06,311.06
37号井,1656.53,0.9,315.29
37号井,1685.15,0.94,303.34
37号井,1713.75,0.68,295.69
37号井,1742.38,0.58,298.38
37号井,1770.98,0.36,324.11
37号井,1799.58,0.34,266.29
37号井,1828.2,0.9,213.93
37号井,1856.78,1.76,212.96
37号井,1866.39,2.8,230.17
37号井,1895.04,2.7,237.07
37号井,1923.71,2.6,233.97
37号井,1952.36,6.1,268.57
37号井,1981.04,12.8,288.17
37号井,2009.68,16.8,288.27
37号井,2038.33,16.9,284.97
37号井,2066.95,17.5,284.77
37号井,2095.6,17.5,284.67
37号井,2124.22,17.5,285.17
37号井,2152.86,17.5,287.17
37号井,2181.55,18.5,286.67
37号井,2210.22,19.3,285.77
37号井,2238.84,19.5,286.07
37号井,2267.49,20.1,283.67
37号井,2296.17,20.3,283.87
37号井,2324.8,20.7,283.77
37号井,2353.44,21,283.97
37号井,2382.06,21,284.47
37号井,2410.71,21,285.47
37号井,2439.39,21.1,285.57
37号井,2468.02,21.2,285.77
37号井,2496.66,21.6,284.07
37号井,2525.34,21.8,284.07
37号井,2553.96,22.3,283.77
37号井,2582.63,22.7,283.67
37号井,2611.28,22.7,283.97
